ID,YEAR,DEMO_SEX,DEMO_BIRTH_YEAR,DEMO_AGE_GEN,EDU_LEVEL,FAM_SIZE,FAM_SIZE_CHI,FAM_PARSTAT,FAM_MARSTAT,GEO_REGION,GEO_METRO,CGEO_REGION,RACE_ETH_MAJ_COL,EMP_WORK,OCC_1970C,OCC_2000C_1M,OCC_2010C_1M,HOME_STAT,REL_PAR_BF_ID,REL_PAR_BM_ID,OCC_ANY,OCC_SCHEME,father_share_married,father_share_divorc,father_EDU_MAX,father_obs_cnt,mother_share_married,mother_share_divorc,mother_EDU_MAX,mother_obs_cnt,PAR_BOTH_MISS,EARN_TOT_RDF,FINC_TOT_RDF,WLTH_TOT_NET_RDF,WLTH_HOME_NET_RDF,WLTH_SAVI_NET_RDF,WLTH_INVE_NET_RDF,WLTH_ODEB_NET_RDF,father_EARN_mean,father_EARN_sd,father_FINC_mean,mother_EARN_mean,mother_EARN_sd,mother_FINC_mean,COHORT_BIN,split
320170,1993,2,1961,32,2,4,2,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.019063992798693,,,,,,,,,,,,0,test
320170,1994,2,1961,33,2,4,2,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,4.213658380002463,-2.976066986407022,0,2.332655233717172,0,3.364388310674562,,,,,,,0,test
320170,1995,2,1961,34,2,4,2,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.365931785841606,,,,,,,,,,,,0,test
320170,1996,2,1961,35,2,4,2,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,3.494678807834105,,,,,,,,,,,,0,test
320170,1997,2,1961,36,2,4,2,1,1,4,,2,1,0,,,,2,320906,320907,,,,,,,,,,,1,0,4.232992198326511,,,,,,,,,,,,0,test
320170,1999,2,1961,38,2,4,2,1,1,4,,2,1,0,,,,1,320906,320907,,,,,,,,,,,1,0,3.529480751760855,-3.352396185567751,2.353193520075729,1.145477902809589,.1942454749229888,3.874669093083094,,,,,,,0,test
320170,2001,2,1961,40,2,4,2,1,1,4,,2,1,0,,,,1,320906,320907,,,,,,,,,,,1,0,2.87682032711627,-3.757445659437157,3.473886598379008,.4001110473371466,.1864762370615556,4.418821270260231,,,,,,,0,test
320170,2003,2,1961,42,2,3,1,1,1,4,,2,1,1,,470,,1,320906,320907,470,2,,,,,,,,,1,1.176482716576783,4.154855062253162,-3.902228155934086,3.742182854309698,2.689885875476531,0,4.622483144334178,,,,,,,0,test
320170,2005,2,1961,44,2,3,1,1,1,4,,2,1,0,,496,,1,320906,320907,496,2,,,,,,,,,1,1.302772834242653,4.464807438697795,2.974425693059933,4.596137217175912,.6249477864845704,1.738358943268211,4.475230520854877,,,,,,,0,test
321005,1982,2,1961,21,1,2,0,1,1,2,,2,1,0,,,,1,,321002,,,,,,,0,0,1,2,0,2.209762194855434,3.830703272154524,,,,,,,,,0,0,3.921197742264567,0,train
